name,country_id
"Capital federal","C","1010"
"Buenos Aires","B","1010"
"Catamarca","K","1010"
"Cordoba","X","1010"
"Corrientes","W","1010"
"Chaco","H","1010"
"Chubut","U","1010"
"Entre Rios","E","1010"
"Formosa","P","1010"
"Jujuy","Y","1010"
"La Pampa","L","1010"
"Mendoza","M","1010"
"Misiones","N","1010"
"Neuquen","Q","1010"
"Rio Negro","R","1010"
"Salta","A","1010"
"San Juan","J","1010"
"San Luis","D","1010"
"Santa Cruz","Z","1010"
"Santa Fe","S","1010"
"Santiago del Estero","G","1010"
"Tierra del Fuego","V","1010"
"Tucuman","T","1010"